ts,instrument_name,interest_8h,interest_1h,mark_price,index_price
1717444800000,BTC-PERPETUAL,5.8024330900244765e-05,1.6045161487716726e-05,,69184.83
1717448400000,BTC-PERPETUAL,6.81747294671872e-05,1.4384449077973079e-05,,69096.87
1717452000000,BTC-PERPETUAL,7.04831441688747e-05,6.482052183822521e-06,,69067.66
1717455600000,BTC-PERPETUAL,6.541148064021722e-05,9.03389297806708e-08,,69037.81
1717459200000,BTC-PERPETUAL,5.842458198719015e-05,1.2466760825275367e-07,,68797.58
1717462800000,BTC-PERPETUAL,4.871938405164399e-05,0.0,,68993.96
1717466400000,BTC-PERPETUAL,4.020566077462601e-05,1.3784213429105307e-07,,69191.08
1717470000000,BTC-PERPETUAL,4.0658284381054434e-05,3.353292288550674e-06,,69121.33
1717473600000,BTC-PERPETUAL,2.6909032754641643e-05,2.3255053489614844e-06,,69146.35
1717477200000,BTC-PERPETUAL,1.322779924462742e-05,7.196540079559152e-07,,69041.53
1717480800000,BTC-PERPETUAL,6.765860506008576e-06,2.2956452979865666e-08,,68937.1
1717484400000,BTC-PERPETUAL,8.044399979322193e-06,1.3697623810432825e-06,,68890.99
1717488000000,BTC-PERPETUAL,8.539726949923877e-06,6.484319876584117e-07,,68994.9
1717491600000,BTC-PERPETUAL,8.580383072318574e-06,1.6280027785476088e-08,,68828.74
1717495200000,BTC-PERPETUAL,1.0813734263596593e-05,2.33804226455369e-06,,68689.89
1717498800000,BTC-PERPETUAL,7.4574944645243214e-06,4.1479288555627414e-09,,68875.27
1717502400000,BTC-PERPETUAL,5.430708312874895e-06,2.9007934589770015e-07,,68934.69
1717506000000,BTC-PERPETUAL,1.4150835050652824e-05,9.434570277325384e-06,,68923.08
1717509600000,BTC-PERPETUAL,2.242278808719813e-05,8.323880826159083e-06,,69527.56
1717513200000,BTC-PERPETUAL,3.7604908847867734e-05,1.6694615551044567e-05,,69653.01
1717516800000,BTC-PERPETUAL,4.8946024551469915e-05,1.2063205326516221e-05,,70457.86
1717520400000,BTC-PERPETUAL,6.172243540733668e-05,1.3214750849441639e-05,,70831.6
1717524000000,BTC-PERPETUAL,7.39770794507862e-05,1.517257659447176e-05,,70580.29
1717527600000,BTC-PERPETUAL,7.837855067935215e-05,4.310101148361884e-06,,70727.43
1717531200000,BTC-PERPETUAL,8.873766206252002e-05,1.085701695065499e-05,,70453.5
1717534800000,BTC-PERPETUAL,9.81286871207166e-05,1.9257265860312903e-05,,70421.28
1717538400000,BTC-PERPETUAL,0.00011048674380736985,2.0150042524948205e-05,,70627.54
1717542000000,BTC-PERPETUAL,0.00010898492078725411,1.5233759300879033e-05,,70584.44
1717545600000,BTC-PERPETUAL,0.00011325428904203428,1.5239960002188108e-05,,70549.14
1717549200000,BTC-PERPETUAL,0.0001234374896489617,2.277610752638955e-05,,70802.7
1717552800000,BTC-PERPETUAL,0.00015415350372395643,4.641852665573556e-05,,70992.57
1717556400000,BTC-PERPETUAL,0.0001908725589717756,4.0869412485448966e-05,,70850.95
1717560000000,BTC-PERPETUAL,0.0002291009315987638,5.006343558698081e-05,,70959.97
1717563600000,BTC-PERPETUAL,0.00026206456210508687,5.271706232150604e-05,,71177.78
1717567200000,BTC-PERPETUAL,0.0002784289073844423,3.6084787208519496e-05,,71005.66
1717570800000,BTC-PERPETUAL,0.00028275175979667146,1.9834889445540823e-05,,71107.67
1717574400000,BTC-PERPETUAL,0.00030640987200597345,3.9340868641501935e-05,,71198.21
1717578000000,BTC-PERPETUAL,0.0003162414475038786,3.1764732429198085e-05,,70925.97
1717581600000,BTC-PERPETUAL,0.0003013811237756374,3.0805698126501596e-05,,70899.14
1717585200000,BTC-PERPETUAL,0.00028842359321641083,2.8450903465267748e-05,,70789.52
1717588800000,BTC-PERPETUAL,0.0002538515199889268,1.5088261901601457e-05,,70963.66
1717592400000,BTC-PERPETUAL,0.00021251564831356227,1.0731432886219127e-05,,70954.14
1717596000000,BTC-PERPETUAL,0.00018952634029900515,1.3512307753567827e-05,,70734.21
1717599600000,BTC-PERPETUAL,0.00017669186413714322,6.7211406906181095e-06,,70878.1
1717603200000,BTC-PERPETUAL,0.00014298565359559235,5.435224422014889e-06,,71605.88
1717606800000,BTC-PERPETUAL,0.00013187982432712487,2.1286294651945627e-05,,71321.01
1717610400000,BTC-PERPETUAL,0.00012510889955122555,2.421624907506354e-05,,71643.92
1717614000000,BTC-PERPETUAL,0.00010429817835254745,7.883646641634694e-06,,71098.62
1717617600000,BTC-PERPETUAL,9.134438571711909e-05,1.9186576805574978e-06,,71286.05
1717621200000,BTC-PERPETUAL,8.168825143523585e-05,1.0911937184471177e-06,,71216.33
1717624800000,BTC-PERPETUAL,7.783681804195208e-05,9.939481298645643e-06,,71157.72
1717628400000,BTC-PERPETUAL,7.482456978627713e-05,3.5782876105103537e-06,,71154.99
1717632000000,BTC-PERPETUAL,7.389349085377152e-05,3.7677767133163747e-06,,71120.27
1717635600000,BTC-PERPETUAL,5.317942314066343e-05,7.793147390249522e-07,,71017.74
1717639200000,BTC-PERPETUAL,3.5596693054646376e-05,6.445554582283227e-06,,71134.24
1717642800000,BTC-PERPETUAL,3.416530626840411e-05,6.6674805531897246e-06,,71173.68
1717646400000,BTC-PERPETUAL,3.425249675060414e-05,1.9168597645648253e-06,,71062.75
1717650000000,BTC-PERPETUAL,4.313865596546322e-05,9.988199349291841e-06,,71070.59
1717653600000,BTC-PERPETUAL,4.988934117668696e-05,1.669701899822028e-05,,70898.44
1717657200000,BTC-PERPETUAL,6.889934818882314e-05,2.2508622649059847e-05,,70906.61
1717660800000,BTC-PERPETUAL,8.278589428628072e-05,1.7632970976972338e-05,,71026.87
1717664400000,BTC-PERPETUAL,8.848214864653441e-05,6.5913934282636835e-06,,70914.75
1717668000000,BTC-PERPETUAL,9.425003467888972e-05,1.204159466062255e-05,,70982.0
1717671600000,BTC-PERPETUAL,0.00010693914006709188,1.9256027229206825e-05,,70992.21
1717675200000,BTC-PERPETUAL,0.00014238420967295398,3.748800531513397e-05,,71151.63
1717678800000,BTC-PERPETUAL,0.0001638142706480751,3.1439823629861126e-05,,71165.46
1717682400000,BTC-PERPETUAL,0.00017451879702131104,2.7862441305813773e-05,,71118.76
1717686000000,BTC-PERPETUAL,0.00018526393290625712,3.333601320803823e-05,,71449.34
1717689600000,BTC-PERPETUAL,0.00018686140200160897,1.9061759822817446e-05,,71289.78
1717693200000,BTC-PERPETUAL,0.00019751493008644908,1.7622192132761857e-05,,70946.76
1717696800000,BTC-PERPETUAL,0.00021671140777492507,3.1046762697854485e-05,,71083.93
1717700400000,BTC-PERPETUAL,0.00022041428117576905,2.2960124368976828e-05,,71053.3
1717704000000,BTC-PERPETUAL,0.00018834246768715114,4.998495485233677e-06,,70463.56
1717707600000,BTC-PERPETUAL,0.0001649869690968326,7.974392963842646e-06,,70689.12
1717711200000,BTC-PERPETUAL,0.00014281376924716853,5.744311693872627e-06,,70719.57
1717714800000,BTC-PERPETUAL,0.00011001447618724058,3.6084864120637614e-08,,70858.44
1717718400000,BTC-PERPETUAL,9.087003941803547e-05,1.111599079588722e-07,,70767.26
1717722000000,BTC-PERPETUAL,7.334410216460404e-05,4.47561141878119e-07,,70856.01
1717725600000,BTC-PERPETUAL,4.275833181396609e-05,3.7799786416929256e-07,,70832.55
1717729200000,BTC-PERPETUAL,2.0118420620213277e-05,3.277228546540735e-07,,70807.41
1717732800000,BTC-PERPETUAL,1.531297300598235e-05,3.2009717458539864e-07,,70975.39
1717736400000,BTC-PERPETUAL,2.2158639071617383e-05,1.485648931129575e-05,,71204.63
1717740000000,BTC-PERPETUAL,4.312133662144913e-05,2.688307140948303e-05,,71302.03
1717743600000,BTC-PERPETUAL,6.717273404586131e-05,2.4153140496169702e-05,,71246.23
1717747200000,BTC-PERPETUAL,8.466148810016956e-05,1.7805912741346872e-05,,71070.09
1717750800000,BTC-PERPETUAL,0.00010221866040978811,1.795301905123705e-05,,71070.29
1717754400000,BTC-PERPETUAL,0.0001244610346869026,2.2730126406627184e-05,,71262.53
1717758000000,BTC-PERPETUAL,0.000160939251164119,3.708685307311319e-05,,71332.97
1717761600000,BTC-PERPETUAL,0.00021498706706219361,5.4258858524164664e-05,,71674.02
1717765200000,BTC-PERPETUAL,0.0002530104866732171,5.257784679335979e-05,,71182.55
1717768800000,BTC-PERPETUAL,0.00026631557979366,3.981202289099961e-05,,71485.78
1717772400000,BTC-PERPETUAL,0.00025124360802643124,9.301852421285347e-06,,71384.89
1717776000000,BTC-PERPETUAL,0.00023508579312814725,2.235256465522046e-06,,71060.36
1717779600000,BTC-PERPETUAL,0.00021983852715269482,2.704764072680056e-06,,70818.64
1717783200000,BTC-PERPETUAL,0.00021270437205435304,1.4968982006237172e-05,,69693.57
1717786800000,BTC-PERPETUAL,0.0001911505453091348,1.5006439745953893e-05,,69072.32
1717790400000,BTC-PERPETUAL,0.00014528782354349256,7.460629585793482e-06,,69219.64
1717794000000,BTC-PERPETUAL,9.200155224826613e-05,-7.070553451543686e-08,,69270.57
1717797600000,BTC-PERPETUAL,5.234997601404651e-05,-5.995772623056644e-08,,69218.46
1717801200000,BTC-PERPETUAL,4.289247222490352e-05,-9.201630803750862e-08,,69473.44
1717804800000,BTC-PERPETUAL,3.9535357738405813e-05,-9.155696101016197e-07,,69322.1
